student_id,age,gender,first_generation_college,international_student,residency_status,high_school_gpa,sat_score,act_score,advanced_courses_taken,extracurricular_activities,major,enrollment_status,semester_credits,admission_type,starting_semester,family_income,financial_aid_received,pell_grant_eligible,student_loan_amount,has_campus_job,current_gpa,credits_completed,courses_failed,courses_withdrawn,attendance_rate,study_hours_per_week,library_visits_per_month,tutoring_sessions_attended,advisor_meetings,clubs_joined,living_arrangement,has_disability,distance_from_campus_miles,work_hours_per_week,dropped_out
14,17,Female,False,False,In-state,3.35,924.0,30,2,2,Engineering,Part-time,3,Transfer,Fall,$60k-$100k,True,True,12611,False,2.78,32,0,0,61.4,12,1,1,3,1,Commuter,False,4,7,True
15,20,Male,False,False,In-state,2.82,1151.7961403508773,27,5,6,Arts & Sciences,Full-time,15,Regular,Fall,$100k+,True,False,14811,False,2.37,60,0,0,88.0,0,7,0,2,1,Off-campus,False,3,36,True
16,18,Male,False,False,In-state,2.43,1217.0,18,3,3,Education,Full-time,12,Regular,Fall,$30k-$60k,True,False,1520,False,2.71,43,1,0,87.3,8,4,2,0,0,Commuter,False,15,17,False
17,17,Female,True,False,Out-of-state,3.38,1267.0,23,3,2,Health Sciences,Full-time,15,Regular,Fall,<$30k,True,False,12049,False,3.57,12,1,0,83.4,14,6,1,0,1,On-campus,True,4,14,False
18,17,Male,False,False,In-state,4.0,1370.0,25,1,5,Computer Science,Full-time,18,Regular,Fall,<$30k,True,False,16312,True,2.03,44,1,0,80.8,5,5,2,0,2,At home,False,5,12,False
19,22,Female,False,True,In-state,2.73,1159.0,23,3,0,Engineering,Part-time,3,Regular,Spring,$30k-$60k,True,False,3038,False,3.66,23,1,0,81.5,23,3,1,0,1,At home,False,21,5,False
20,22,Male,False,False,In-state,3.65,1362.0,19,1,2,Computer Science,Part-time,9,Regular,Fall,<$30k,False,False,2749,False,2.09,120,0,2,76.9,25,4,0,2,1,At home,False,5,19,False
21,17,Male,True,False,In-state,4.0,1381.0,19,3,3,Arts & Sciences,Full-time,12,Regular,Fall,$100k+,True,True,11762,True,1.98,86,0,1,80.8,2,1,0,3,0,Commuter,False,2,1,True
22,17,Female,True,False,In-state,3.68,1307.0,24,5,2,Arts & Sciences,Full-time,12,Early Decision,Fall,$100k+,False,True,15069,False,2.98,5,0,1,98.1,1,3,1,3,5,Off-campus,False,63,4,True
23,17,Male,False,False,In-state,3.29,1413.0,19,3,2,Business,Full-time,12,Regular,Spring,$60k-$100k,True,True,4544,False,2.89,22,3,0,88.2,28,1,5,1,2,On-campus,False,0,12,False
24,20,Female,True,False,Out-of-state,3.57,1194.0,18,2,3,Education,Full-time,15,Regular,Spring,$30k-$60k,False,False,21360,False,4.0,42,1,0,69.0,18,5,5,5,1,Commuter,False,4,20,False
25,17,Female,False,False,In-state,3.25,1216.0,22,2,3,Arts & Sciences,Full-time,18,Regular,Fall,$60k-$100k,False,False,33405,False,0.98,28,0,0,98.3,1,6,0,2,3,On-campus,False,5,15,True
26,21,Male,True,False,Out-of-state,3.38,1202.0,17,0,5,Engineering,Full-time,12,Regular,Spring,$60k-$100k,True,True,35828,False,2.9,1,1,0,79.8,18,3,3,3,3,Off-campus,False,4,28,False
27,19,Male,True,False,In-state,3.13,1183.0,20,1,2,Business,Full-time,18,Regular,Fall,$30k-$60k,False,False,16856,True,2.94,13,0,0,96.2,7,1,5,1,2,On-campus,False,14,5,True
28,17,Male,True,False,In-state,3.1,1481.0,21,4,1,Business,Full-time,18,Regular,Spring,$30k-$60k,True,True,5478,True,3.08,15,0,0,77.7,6,3,1,2,0,Commuter,False,53,3,False
29,23,Female,False,False,In-state,3.55,1151.7961403508773,17,3,2,Business,Full-time,15,Regular,Fall,$30k-$60k,True,False,613,False,2.53,41,2,0,82.4,3,4,3,0,2,At home,False,44,16,True
30,17,Female,False,False,International,3.74,1350.0,21,5,2,Computer Science,Full-time,15,Regular,Spring,$60k-$100k,False,False,17926,False,3.28,9,2,1,71.0,42,5,2,0,3,On-campus,False,24,1,False
31,17,Male,False,False,International,3.81,1151.7961403508773,23,3,2,Engineering,Full-time,12,Regular,Fall,$30k-$60k,True,False,5333,False,2.43,30,1,0,95.4,28,3,1,0,1,On-campus,False,3,4,False
32,17,Male,False,False,In-state,2.9,1248.0,27,1,4,Health Sciences,Full-time,15,Regular,Fall,$60k-$100k,True,False,1340,True,1.96,60,2,0,83.0,0,6,1,2,2,On-campus,False,13,10,True
33,20,Female,True,True,In-state,4.0,1104.0,21,4,1,Health Sciences,Full-time,12,Early Decision,Fall,$30k-$60k,True,True,13372,False,4.0,75,3,2,93.4,6,4,3,2,1,On-campus,True,9,14,True
34,19,Female,True,False,International,3.02,1370.0,19,2,2,Computer Science,Full-time,18,Regular,Fall,$60k-$100k,True,False,4287,False,2.26,60,1,0,85.0,3,2,1,2,4,On-campus,False,0,16,False
35,22,Female,True,False,In-state,3.43,1173.0,25,0,0,Computer Science,Full-time,12,Regular,Spring,<$30k,True,True,7054,False,4.0,1,0,0,87.2,15,7,1,4,2,Off-campus,False,21,6,False
36,23,Female,False,False,In-state,2.85,1244.0,16,3,6,Arts & Sciences,Full-time,12,Regular,Fall,$60k-$100k,True,False,313,False,4.0,34,2,0,70.1,2,2,3,2,2,On-campus,False,7,4,False
37,27,Female,False,False,In-state,3.2,1185.0,24,3,5,Social Sciences,Full-time,12,Early Decision,Fall,$60k-$100k,True,False,2626,False,4.0,23,1,1,66.1,8,4,4,4,2,Off-campus,False,15,10,False
38,19,Female,True,False,In-state,3.4,957.0,22,3,2,Business,Part-time,6,Early Decision,Fall,$60k-$100k,True,True,5943,False,3.91,30,1,1,76.0,20,8,3,3,1,On-campus,True,4,1,False
39,19,Male,False,False,In-state,3.5,994.0,17,5,3,Business,Full-time,18,Regular,Fall,$30k-$60k,True,False,1328,True,1.85,73,0,0,46.4,54,5,3,1,0,On-campus,False,10,1,True
40,21,Male,False,False,Out-of-state,2.61,1158.0,23,3,2,Computer Science,Full-time,15,Regular,Fall,$100k+,False,False,5755,True,2.91,20,0,0,71.2,9,1,1,2,2,Off-campus,False,2,16,False
41,20,Female,False,False,In-state,2.67,1359.0,25,3,2,Computer Science,Full-time,18,Early Decision,Spring,$60k-$100k,True,False,1436,False,1.88,42,2,0,95.0,22,3,0,1,1,Commuter,False,25,10,True
42,21,Male,True,True,In-state,3.1,1365.0,22,3,2,Arts & Sciences,Part-time,3,Early Decision,Fall,$60k-$100k,True,True,8027,False,3.81,6,0,1,77.3,40,6,1,1,0,At home,False,17,6,True
43,25,Male,False,False,Out-of-state,3.15,979.0,16,2,4,Social Sciences,Full-time,18,Transfer,Fall,$100k+,True,True,7505,False,2.72,80,0,2,81.5,2,5,2,0,1,On-campus,False,18,0,False
44,20,Female,False,False,In-state,3.52,1214.0,19,4,5,Engineering,Full-time,15,Early Decision,Fall,$30k-$60k,False,False,5980,False,2.62,107,0,1,91.6,11,6,1,3,1,Off-campus,False,4,11,False
45,23,Female,False,False,In-state,3.5,800.0,25,5,4,Health Sciences,Full-time,15,Regular,Fall,$60k-$100k,True,False,29189,False,2.52,16,1,0,79.2,0,2,4,3,1,Off-campus,False,49,3,False
46,18,Female,False,False,In-state,3.82,1151.7961403508773,16,5,3,Business,Part-time,9,Transfer,Fall,<$30k,True,False,30295,False,3.17,67,0,1,83.3,4,3,3,1,2,On-campus,False,6,0,False
47,22,Male,False,True,In-state,4.0,1168.0,19,6,4,Health Sciences,Full-time,12,Regular,Spring,<$30k,False,True,58125,False,4.0,120,0,0,89.5,6,5,3,2,1,Off-campus,False,18,12,False
48,19,Male,False,False,In-state,3.4,1004.0,28,4,1,Education,Full-time,15,Regular,Spring,$60k-$100k,False,False,10905,True,3.51,120,1,1,69.4,0,3,1,2,2,Commuter,False,26,36,True
49,20,Female,False,False,In-state,4.0,854.0,20,4,3,Arts & Sciences,Full-time,15,Regular,Spring,$100k+,True,False,25722,False,3.22,120,0,0,93.7,12,4,1,0,2,At home,False,81,9,False
50,25,Male,True,False,In-state,2.62,1113.0,24,4,0,Education,Full-time,18,Regular,Fall,$30k-$60k,True,False,15754,True,3.33,61,1,0,98.7,19,2,0,1,3,Commuter,False,23,17,False
51,23,Male,False,False,In-state,3.8,1074.0,31,1,1,Business,Full-time,18,Regular,Spring,$100k+,True,False,44546,True,3.56,80,1,0,84.4,2,5,1,0,4,Off-campus,True,0,10,False
52,20,Male,False,False,In-state,2.97,1112.0,28,0,6,Social Sciences,Full-time,12,Regular,Fall,$60k-$100k,True,False,9506,True,4.0,61,0,3,81.3,8,1,2,4,2,At home,False,0,1,False
53,18,Female,False,False,In-state,3.65,1057.0,23,7,1,Arts & Sciences,Full-time,15,Early Decision,Fall,$60k-$100k,False,True,3985,False,4.0,4,0,0,67.0,0,4,3,3,1,On-campus,False,12,14,False
54,20,Male,False,False,In-state,3.54,1189.0,24,4,3,Health Sciences,Part-time,6,Regular,Spring,$100k+,False,True,8785,False,2.17,24,0,2,70.3,6,3,3,1,2,On-campus,False,24,5,False
55,17,Male,True,False,Out-of-state,3.82,1228.0,27,3,1,Education,Full-time,12,Regular,Fall,$60k-$100k,True,False,42,False,4.0,114,0,0,66.4,5,2,3,2,0,On-campus,False,1,1,False
56,17,Female,False,False,In-state,2.97,1198.0,23,1,1,Computer Science,Part-time,6,Regular,Fall,$60k-$100k,True,False,75430,True,2.6,4,0,1,92.0,13,2,2,0,2,On-campus,False,5,3,False
57,25,Female,True,False,International,3.23,1149.0,29,4,1,Education,Full-time,12,Regular,Spring,$60k-$100k,True,True,2128,True,1.38,86,1,1,62.6,6,8,2,2,2,On-campus,False,73,14,True
58,17,Male,False,False,In-state,3.1,800.0,25,2,1,Education,Full-time,18,Regular,Spring,$100k+,True,True,9701,True,3.07,47,3,1,79.1,25,3,0,2,0,On-campus,False,2,30,True
59,18,Female,False,False,In-state,2.87,995.0,25,5,2,Social Sciences,Part-time,9,Transfer,Fall,$30k-$60k,True,False,13655,False,4.0,3,1,0,69.9,1,5,4,2,0,At home,False,0,1,False
60,19,Female,False,False,Out-of-state,3.33,1084.0,26,3,2,Health Sciences,Full-time,18,Regular,Fall,$100k+,True,False,24197,False,3.41,76,2,0,91.5,18,2,4,0,1,On-campus,False,0,1,False
61,21,Female,True,False,International,3.15,1251.0,22,2,4,Engineering,Full-time,15,Regular,Fall,$30k-$60k,True,True,42825,False,1.79,48,1,1,98.2,3,2,2,1,1,At home,False,6,10,False
62,18,Female,True,False,In-state,2.77,1263.0,25,2,0,Engineering,Full-time,12,Regular,Fall,$60k-$100k,True,True,20841,True,3.0,50,1,0,73.9,5,4,3,0,0,Off-campus,False,29,11,False
63,17,Female,False,False,Out-of-state,2.64,1246.0,23,4,3,Business,Part-time,3,Regular,Spring,$60k-$100k,True,False,16646,True,2.49,27,0,0,87.8,22,4,2,0,3,On-campus,True,5,4,False
64,18,Male,False,False,In-state,2.35,1177.0,24,1,1,Education,Full-time,12,Regular,Fall,$30k-$60k,True,False,6604,False,3.27,13,0,0,86.3,1,7,3,2,2,On-campus,False,2,16,False
65,17,Female,False,False,In-state,3.76,1023.0,28,3,2,Social Sciences,Full-time,15,Regular,Spring,<$30k,True,True,16252,False,2.31,22,0,0,95.3,12,2,0,0,1,On-campus,False,3,2,True
66,24,Female,False,False,Out-of-state,3.76,1105.0,26,1,1,Health Sciences,Full-time,12,Regular,Fall,$30k-$60k,True,False,2749,False,3.66,28,1,2,78.5,0,3,2,1,3,On-campus,False,31,20,False
67,17,Male,False,False,In-state,4.0,1158.0,27,8,3,Arts & Sciences,Full-time,15,Regular,Fall,$30k-$60k,True,False,7355,False,3.07,3,0,2,74.7,9,3,3,4,2,Commuter,False,11,14,False
68,18,Male,False,False,In-state,2.0,1054.0,21,3,2,Health Sciences,Full-time,18,Regular,Fall,<$30k,False,False,16317,False,2.54,16,0,0,79.8,20,4,1,0,0,Off-campus,False,29,7,False
69,17,Male,False,False,In-state,2.74,1000.0,21,1,1,Engineering,Full-time,15,Regular,Fall,$100k+,True,False,2787,True,2.87,23,0,1,86.1,27,5,2,0,3,Commuter,False,5,4,False
70,18,Female,True,False,Out-of-state,4.0,1001.0,23,2,1,Education,Part-time,6,Regular,Fall,$60k-$100k,True,False,20218,False,4.0,101,0,1,87.3,5,4,4,3,1,Commuter,False,6,0,False
71,17,Male,True,True,In-state,3.1,1049.0,18,5,2,Business,Full-time,18,Regular,Fall,<$30k,True,False,11661,True,2.38,44,1,0,60.5,60,3,2,1,2,Commuter,False,14,38,True
72,20,Male,False,False,In-state,2.5,948.0,21,3,1,Arts & Sciences,Full-time,18,Regular,Fall,$60k-$100k,True,True,19969,True,3.1,8,0,1,93.1,1,4,0,0,2,On-campus,False,25,4,False
73,17,Male,True,False,In-state,3.1,1110.0,25,3,1,Computer Science,Full-time,12,Regular,Fall,$100k+,False,False,4151,True,4.0,80,0,0,74.2,18,2,2,4,2,Off-campus,False,27,12,False
74,21,Male,False,False,In-state,3.92,1206.0,23,3,3,Education,Full-time,12,Regular,Summer,$100k+,True,False,37513,False,4.0,56,1,0,79.8,6,2,2,1,2,Off-campus,False,0,21,False
75,17,Female,False,False,In-state,3.05,1090.0,22,2,3,Education,Part-time,3,Early Decision,Spring,<$30k,True,False,13862,True,3.31,2,0,0,85.1,14,8,2,1,2,Off-campus,False,5,1,True
76,19,Female,True,False,In-state,2.88,1218.0,19,1,1,Business,Full-time,12,Regular,Fall,$60k-$100k,False,False,3050,False,2.31,19,0,3,60.3,0,5,3,1,2,At home,False,1,1,True
77,22,Female,True,False,In-state,3.03,945.0,25,2,2,Engineering,Full-time,12,Transfer,Fall,<$30k,True,False,5030,True,3.28,7,0,1,76.5,4,4,3,1,3,Off-campus,False,7,2,True
78,21,Female,False,False,In-state,2.86,1151.7961403508773,25,3,4,Business,Full-time,15,Regular,Spring,$100k+,True,False,9367,False,2.03,15,1,0,80.6,41,4,1,0,0,Off-campus,False,28,14,False
79,17,Male,False,False,Out-of-state,3.13,1019.0,24,3,0,Business,Full-time,12,Regular,Fall,$100k+,True,False,9085,True,3.05,15,1,0,46.0,0,2,0,0,2,On-campus,True,0,2,False
80,21,Male,False,False,International,2.69,1151.7961403508773,21,5,5,Business,Full-time,18,Regular,Spring,$30k-$60k,False,True,52499,False,2.877533333333333,9,1,0,82.3,0,8,3,1,0,On-campus,False,30,7,False
81,19,Male,False,False,In-state,3.59,1358.0,18,2,4,Computer Science,Full-time,15,Regular,Fall,$30k-$60k,True,False,15773,False,2.91,13,2,1,84.1,11,6,2,1,2,Off-campus,True,55,20,False
82,18,Female,True,False,In-state,2.83,1220.0,25,1,1,Computer Science,Full-time,18,Regular,Spring,$60k-$100k,True,False,9513,True,2.88,67,0,0,79.3,1,4,2,0,2,On-campus,False,13,22,False
83,21,Female,False,False,In-state,3.2,898.0,23,8,1,Health Sciences,Full-time,18,Regular,Spring,$30k-$60k,True,True,734,False,3.83,35,2,0,86.3,0,5,1,0,1,On-campus,False,9,20,False
84,18,Female,False,False,Out-of-state,3.58,830.0,24,3,3,Business,Full-time,12,Regular,Fall,<$30k,True,False,7252,True,3.1,81,0,0,79.8,3,3,0,4,7,On-campus,False,8,9,False
85,17,Female,False,False,In-state,2.85,1187.0,17,3,3,Arts & Sciences,Full-time,15,Regular,Fall,$60k-$100k,True,False,17992,False,2.52,1,2,1,58.2,0,4,2,0,1,On-campus,False,5,15,True
86,19,Female,False,False,Out-of-state,3.22,1151.7961403508773,17,1,2,Engineering,Part-time,6,Early Decision,Spring,$100k+,True,False,41859,False,2.75,25,1,0,92.0,10,3,0,1,0,On-campus,False,60,19,True
87,17,Female,False,False,In-state,3.12,945.0,28,3,2,Computer Science,Full-time,12,Regular,Summer,$30k-$60k,True,False,5135,True,2.78,47,0,1,79.8,15,6,2,1,1,On-campus,False,18,2,False
88,17,Female,True,False,In-state,2.75,1010.0,20,4,6,Arts & Sciences,Full-time,12,Transfer,Fall,<$30k,False,False,10292,False,3.44,120,2,0,73.5,6,7,3,3,1,On-campus,False,42,12,True
89,19,Female,True,False,International,3.69,1124.0,24,2,2,Engineering,Full-time,15,Early Decision,Fall,$100k+,False,False,4823,False,3.78,2,1,1,91.2,8,4,2,2,0,At home,False,15,8,True
90,20,Female,False,False,Out-of-state,3.62,1419.0,23,2,2,Education,Full-time,15,Regular,Fall,<$30k,False,False,1220,False,4.0,32,0,0,90.9,4,1,1,2,1,Off-campus,False,32,0,False
91,17,Female,False,False,In-state,3.58,882.0,24,0,4,Engineering,Full-time,15,Regular,Fall,$100k+,True,True,15908,False,2.78,1,1,0,75.9,3,1,2,0,2,On-campus,False,6,20,False
92,23,Male,False,False,Out-of-state,4.0,1151.0,27,4,2,Business,Full-time,18,Regular,Fall,<$30k,True,False,7229,True,3.34,43,1,0,87.3,3,2,3,1,0,On-campus,False,36,11,False
93,18,Female,False,False,In-state,3.58,1283.0,21,3,3,Social Sciences,Full-time,12,Early Decision,Spring,<$30k,True,True,22403,False,2.91,19,2,0,62.2,17,2,4,7,2,Commuter,False,0,1,True
94,24,Male,True,False,Out-of-state,2.94,1151.7961403508773,29,2,1,Engineering,Full-time,15,Transfer,Fall,$30k-$60k,False,False,7109,False,2.24,120,1,1,77.4,0,2,1,0,4,Commuter,False,13,9,True
95,22,Male,True,False,In-state,3.56,939.0,20,4,4,Health Sciences,Full-time,18,Regular,Spring,<$30k,True,False,4422,False,3.48,120,0,0,54.7,5,5,0,5,3,Off-campus,False,3,20,False
96,21,Non-binary,False,False,International,2.5,837.0,29,2,4,Health Sciences,Full-time,15,Regular,Spring,$60k-$100k,True,True,16502,False,1.78,71,0,0,65.3,43,6,3,0,0,Commuter,False,24,16,False
97,20,Female,False,False,In-state,3.59,1343.0,24,2,0,Engineering,Full-time,15,Regular,Fall,<$30k,False,True,14699,True,2.877533333333333,1,0,0,94.7,44,6,4,3,3,On-campus,True,55,2,False
98,23,Female,True,False,In-state,4.0,1220.0,26,5,1,Education,Full-time,12,Transfer,Fall,$30k-$60k,True,True,4480,True,2.27,10,0,1,85.5,14,6,0,3,3,Commuter,False,9,19,False
99,23,Female,True,False,In-state,3.2,979.0,20,2,3,Arts & Sciences,Full-time,15,Regular,Fall,$100k+,False,False,49766,False,3.34,17,0,1,55.6,8,4,7,1,0,On-campus,False,2,21,True
100,19,Male,False,False,Out-of-state,3.84,1233.0,17,3,4,Arts & Sciences,Full-time,18,Regular,Spring,<$30k,False,True,37384,True,3.35,60,3,0,84.2,9,4,1,1,1,On-campus,False,7,0,True
101,23,Female,False,False,Out-of-state,3.66,1288.0,18,1,7,Engineering,Full-time,12,Regular,Spring,$60k-$100k,True,False,1162,False,2.22,26,0,0,51.6,3,6,1,2,6,On-campus,False,6,27,True
102,25,Female,False,False,In-state,3.06,1055.0,25,2,2,Education,Part-time,9,Regular,Fall,$100k+,True,False,8535,False,2.76,70,0,1,79.8,15,3,3,1,3,Off-campus,False,1,17,False
103,17,Female,False,False,In-state,2.91,1204.0,29,4,4,Computer Science,Full-time,15,Regular,Fall,$60k-$100k,False,True,116050,False,3.7,8,0,0,70.8,6,2,2,0,1,On-campus,False,23,1,True
104,17,Female,True,True,Out-of-state,3.42,1246.0,26,6,1,Health Sciences,Full-time,15,Regular,Spring,$60k-$100k,False,False,35058,False,2.03,3,0,1,85.1,21,4,1,1,0,On-campus,False,0,1,False
105,18,Female,False,False,In-state,3.26,1106.0,24,4,0,Social Sciences,Full-time,12,Regular,Fall,$30k-$60k,False,False,9848,False,3.29,120,0,0,75.0,1,0,2,2,1,At home,False,6,18,False
106,21,Female,True,False,In-state,3.8,974.0,25,3,1,Engineering,Full-time,18,Early Decision,Fall,$30k-$60k,False,True,20901,True,2.97,82,0,0,80.9,3,5,4,1,0,On-campus,False,5,0,True
107,21,Male,True,True,In-state,2.63,1282.0,21,1,5,Health Sciences,Full-time,15,Regular,Fall,$60k-$100k,True,False,37090,False,2.37,11,1,0,84.6,1,2,1,1,5,On-campus,False,7,8,False
108,20,Female,True,False,In-state,3.84,1240.0,23,5,4,Business,Full-time,18,Regular,Fall,$100k+,True,False,1346,False,2.46,38,2,1,74.5,24,4,2,5,0,On-campus,False,6,10,True
109,21,Female,False,False,In-state,3.47,1007.0,17,3,2,Health Sciences,Full-time,18,Regular,Fall,$100k+,True,True,9781,True,2.43,1,0,0,42.1,2,1,0,3,1,On-campus,False,13,9,True
110,22,Female,False,False,In-state,2.84,1151.7961403508773,27,1,3,Business,Part-time,9,Early Decision,Fall,$30k-$60k,True,False,28192,False,2.7,117,2,0,61.4,12,4,0,1,2,On-campus,False,10,7,True
111,25,Female,True,False,Out-of-state,3.82,1184.0,30,3,3,Computer Science,Full-time,18,Regular,Spring,$30k-$60k,True,False,39672,False,2.51,87,0,0,92.3,4,8,1,2,0,On-campus,False,20,8,True
112,20,Female,True,False,In-state,2.86,1098.0,24,5,5,Arts & Sciences,Part-time,3,Regular,Fall,<$30k,True,True,2203,False,2.25,115,1,1,93.9,1,4,3,2,0,Off-campus,False,15,15,False
113,17,Female,False,False,In-state,4.0,1022.0,23,3,5,Engineering,Full-time,12,Regular,Spring,<$30k,True,True,11368,True,3.43,45,0,1,65.6,9,6,4,1,1,At home,True,16,9,False
114,23,Female,False,False,In-state,2.64,824.0,23,2,2,Computer Science,Full-time,18,Regular,Fall,$60k-$100k,True,True,9460,False,3.11,18,2,0,79.8,9,2,1,4,0,At home,False,0,21,False
115,17,Female,False,False,In-state,3.01,1338.0,17,2,3,Education,Full-time,15,Regular,Fall,$100k+,False,True,8051,True,2.37,38,2,2,66.0,3,4,2,1,4,At home,False,7,27,True
116,20,Female,False,True,Out-of-state,3.71,1234.0,22,3,5,Education,Full-time,15,Transfer,Fall,$60k-$100k,False,False,2999,False,2.18,58,0,1,77.6,6,5,1,1,1,Commuter,True,4,24,False
117,23,Male,False,False,In-state,3.19,1106.0,25,3,1,Health Sciences,Full-time,12,Regular,Fall,$60k-$100k,False,False,3307,False,2.86,54,0,1,87.6,9,2,2,2,3,Commuter,False,6,6,False
118,22,Female,True,False,In-state,3.04,1086.0,18,5,3,Computer Science,Full-time,15,Early Decision,Fall,$30k-$60k,False,False,14420,False,2.43,28,0,1,84.7,7,6,3,4,2,Off-campus,True,0,10,True
119,20,Female,False,True,In-state,3.27,1068.0,27,4,4,Social Sciences,Full-time,18,Regular,Fall,$30k-$60k,True,False,5855,False,3.25,8,1,0,68.4,32,5,0,0,1,Off-campus,False,1,8,False
120,18,Male,False,False,Out-of-state,3.03,1106.0,22,3,3,Arts & Sciences,Full-time,18,Transfer,Spring,$30k-$60k,True,False,59,False,2.56,69,2,0,94.3,7,5,2,4,0,Off-campus,False,18,9,False
121,24,Male,False,False,In-state,3.34,1050.0,19,4,3,Health Sciences,Full-time,18,Regular,Fall,$30k-$60k,False,True,4968,True,3.32,19,0,0,58.5,8,2,0,0,1,Off-campus,False,48,4,True
122,17,Female,False,False,In-state,2.66,889.0,26,2,0,Computer Science,Full-time,12,Regular,Fall,$60k-$100k,False,True,39621,False,1.41,11,0,0,82.4,0,5,1,1,3,At home,False,20,4,False
123,20,Female,False,False,In-state,4.0,1372.0,23,6,5,Arts & Sciences,Full-time,12,Regular,Fall,$100k+,True,False,44432,False,2.877533333333333,68,0,0,82.6,7,5,6,1,2,Commuter,False,12,0,False
124,21,Female,True,False,Out-of-state,3.49,1193.0,17,1,3,Health Sciences,Full-time,18,Regular,Fall,$60k-$100k,True,True,12535,True,3.71,41,0,1,60.8,16,3,2,3,1,Off-campus,True,7,14,True
125,19,Female,False,True,In-state,3.35,1034.0,25,5,5,Computer Science,Full-time,18,Regular,Fall,<$30k,True,True,8263,False,3.73,68,0,1,89.7,8,3,0,0,2,On-campus,False,4,23,False
126,19,Female,True,False,In-state,2.85,1072.0,16,4,1,Business,Full-time,15,Transfer,Spring,$60k-$100k,True,False,1283,True,3.83,37,1,1,83.9,0,4,0,1,1,Off-campus,False,12,7,False
127,17,Male,False,False,Out-of-state,3.35,1240.0,22,3,1,Computer Science,Part-time,9,Regular,Fall,<$30k,True,False,2664,False,3.24,3,1,0,64.6,3,0,0,4,0,At home,True,6,7,False
128,17,Female,False,False,Out-of-state,2.97,1093.0,22,2,1,Computer Science,Part-time,6,Regular,Fall,$30k-$60k,True,True,2381,False,3.15,61,1,1,80.0,7,5,2,1,3,On-campus,False,12,1,True
129,20,Female,False,False,In-state,4.0,1129.0,25,4,0,Social Sciences,Full-time,18,Early Decision,Fall,$60k-$100k,True,True,1409,False,2.84,4,1,0,88.2,4,6,1,1,2,On-campus,False,11,1,False
